tav;x;y
17.4;609659;472639
19.4;608898;477619
17.5;579684;472513
17.1;576760;475107
16.8;625250;471939
12.4;626224;478531
19.1;641305;472509
16.4;601356;475656
19.2;607987;470844
20.3;614022;469084
10.6;583180;474045
20.9;611286;466531
18.9;585907;473194
20.1;648317;471991
16.6;549596;471797
18;633296;473882
11.4;647945;472294
17.4;604152;474054
17.9;616960;467346
17.1;634261;465878
16.8;627997;473954
18.6;605801;467364
19.5;626471;469214
16.4;609659;472639
17.8;608898;477619
16.5;579684;472513
16;576760;475107
15.8;625250;471939
11.2;626224;478531
17.5;641305;472509
14.4;601356;475656
17.9;607987;470844
18.8;614022;469084
9.9;583180;474045
19.2;611286;466531
17.4;585907;473194
18.9;648317;471991
18.4;549596;471797
18.8;633296;473882
16;647945;472294
18.4;604152;474054
20.1;616960;467346
19.7;634261;465878
18.1;627997;473954
18.9;605801;467364
20;626471;469214
18.2;609659;472639
18.3;608898;477619
17.2;579684;472513
16.1;576760;475107
17.7;625250;471939
13.5;626224;478531
18.3;641305;472509
16.1;601356;475656
19.6;607987;470844
19.3;614022;469084
13.8;583180;474045
20.1;611286;466531
18.3;585907;473194
18.9;648317;471991
21.7;549596;471797
21.4;633296;473882
17.9;647945;472294
21.6;604152;474054
23;616960;467346
23.4;634261;465878
21.1;627997;473954
22;605801;467364
22.6;626471;469214
21.6;609659;472639
22.7;608898;477619
20.7;579684;472513
21.3;576760;475107
19.9;625250;471939
18.9;626224;478531
20.9;641305;472509
19.6;601356;475656
22;607987;470844
22.3;614022;469084
16.5;583180;474045
22.8;611286;466531
22.1;585907;473194
22.4;648317;471991
17.2;549596;471797
17.3;633296;473882
13;647945;472294
18.2;604152;474054
19;616960;467346
19.5;634261;465878
16.6;627997;473954
19.4;605801;467364
20.3;626471;469214
17;609659;472639
18.9;608898;477619
17.4;579684;472513
17;576760;475107
16.3;625250;471939
12.3;626224;478531
17.4;641305;472509
14.9;601356;475656
18.5;607987;470844
19.1;614022;469084
10.8;583180;474045
20.2;611286;466531
18;585907;473194
18.8;648317;471991
25.1;549596;471797
24.3;633296;473882
20.6;584480;475606
21.6;647945;472294
26;610873;467999
26.4;616960;467346
25.6;634261;465878
23.4;627997;473954
25.9;605801;467364
25.9;626471;469214
24.2;609659;472639
22.1;608898;477619
20.7;605628;473187
23.6;579684;472513
22;576760;475107
24;625250;471939
19.8;626224;478531
24.2;641305;472509
21.3;601356;475656
26.3;578128;469040
25.7;607987;470844
25.9;614022;469084
20.9;583180;474045
26.5;611286;466531
25.2;622324;470765
24.6;585907;473194
24.7;648317;471991
22.4;549596;471797
22.6;633296;473882
15.4;584480;475606
19.4;647945;472294
24.8;610873;467999
24.6;616960;467346
24.4;634261;465878
21.7;627997;473954
24.5;605801;467364
25.3;626471;469214
21;609659;472639
19.2;608898;477619
16.8;605628;473187
21.3;579684;472513
19.4;576760;475107
21.7;625250;471939
14.9;626224;478531
22.8;641305;472509
18.3;601356;475656
24.8;578128;469040
23.4;607987;470844
24.4;614022;469084
16.3;583180;474045
25.3;611286;466531
23.3;622324;470765
22.8;585907;473194
23.4;648317;471991
13.7;549596;471797
15.4;633296;473882
8.8;584480;475606
12;647945;472294
17.7;610873;467999
16;616960;467346
15.3;634261;465878
14.4;627997;473954
17.5;605801;467364
18.2;626471;469214
14;609659;472639
15.9;608898;477619
